feature,good_mean,bad_mean,wrong_mean,d_good_vs_bad,d_long,d_short,d_h1,d_h2,good_n,bad_n
dl2_supportive_large_cancel_5m,38220,41426.7158,45354.4964,-0.1695,-0.0906,-0.2428,-0.096,-0.3125,123,774
dl2_cancel_vol_bid_1m,842013.1263,931604.7314,1030967.5063,-0.1694,-0.1005,-0.2336,-0.0549,-0.3765,123,774
dl2_opposing_cancel_vol_1m,832899.3803,925223.7363,1028976.796,-0.1694,-0.1032,-0.2336,-0.0901,-0.3231,123,774
dl2_opposing_add_vol_1m,832619.1324,924548.9063,1028126.4388,-0.1688,-0.1031,-0.2324,-0.09,-0.3216,123,774
dl2_add_vol_bid_1m,842334.1245,931487.3459,1030535.1481,-0.1685,-0.1003,-0.2324,-0.0542,-0.3754,123,774
dl2_supportive_large_add_5m,36669.6585,39655.9948,43375.6259,-0.1681,-0.0932,-0.2379,-0.0944,-0.3139,123,774
dl2_add_vol_ask_1m,830937.2399,919902.8537,1030155.2367,-0.1635,-0.1031,-0.2223,-0.0808,-0.3145,123,774
dl2_cancel_vol_ask_1m,831043.3569,919786.9999,1029784.8245,-0.1631,-0.1032,-0.2214,-0.0802,-0.3143,123,774
dl2_supportive_add_vol_1m,840652.232,926841.2933,1032563.946,-0.1631,-0.1003,-0.2223,-0.0439,-0.366,123,774
dl2_supportive_cancel_vol_1m,840157.1029,926167.995,1031775.5347,-0.1628,-0.1005,-0.2214,-0.0439,-0.3654,123,774
dl2_n_cancel_bid_5m,123935.626,133840.9147,148681.6115,-0.1596,-0.0644,-0.2451,-0.1299,-0.2851,123,774
dl2_n_add_bid_5m,122649.0732,132149.1279,146895.7122,-0.1554,-0.0607,-0.2407,-0.1247,-0.2855,123,774
dl2_inband_n_events_5m,443909.2927,477592.0788,529833.8129,-0.1545,-0.0638,-0.2363,-0.1424,-0.2583,123,774
dl2_net_opposing_flow_60m,1987.4098,1082.7332,703.1019,0.1525,0.1107,0.1983,0.1028,0.1956,123,774
dl2_microprice_dev_now_bps,-0.0006,0.0004,-0.0001,-0.1455,-0.1112,-0.244,-0.1457,-0.1417,123,774
