_venue,_date,id,direction,sim_label,strong_label,true_mfe,true_mae,sim_outcome,sim_pnl_after_cost,taker_imbalance_15m,supportive_taker_imb_15m,eng_ofi,reclaim_zoneMid_preconfirm,regime_1d,dist_to_recent_swing_high_pct,cv_mate_dmin,cv_match_5m,cv_match_15m,cv_same_dir,cv_mate_taker,cv_confirm,cv_conflict,cv_lead
OKX,2026-05-26,BTC-USDT-SWAP-LONG-1779792512000-9,LONG,NOISE,MID,0.77,-2.843,LOSS,-1.64,-0.0582,-0.0582,0.24404301498140168,0,RANGE,0.1602,9.32,0,1,1,0.1558,1,0,other
OKX,2026-05-26,BTC-USDT-SWAP-SHORT-1779793605000-11,SHORT,GOOD,WEAK_WIN_2,2.486,-1.14,WIN,1.86,-0.1054,0.1054,-0.23175990069830024,1,RANGE,0.5277,19.3,0,0,0,-0.2229,1,0,other
OKX,2026-05-26,BTC-USDT-SWAP-LONG-1779792268000-8,LONG,NOISE,MID,0.793,-2.821,LOSS,-1.64,0.0569,0.0569,0.0024035686844669922,1,RANGE,0.1158,1.12,1,1,1,0.1558,1,0,self
OKX,2026-05-26,BTC-USDT-SWAP-SHORT-1779792782000-10,SHORT,GOOD,STRONG_2_5,2.749,-0.867,WIN,1.86,-0.009,0.009,-0.054570175421217046,1,RANGE,0.2569,8.05,0,1,0,-0.2229,1,0,self
OKX,2026-05-26,BTC-USDT-SWAP-SHORT-1779797901000-12,SHORT,GOOD,WEAK_WIN_2,2.223,-1.413,WIN,1.86,0.2712,-0.2712,-0.0014231351111237062,1,RANGE,0.7992,69.15,0,0,,,0,0,
OKX,2026-05-26,BTC-USDT-SWAP-LONG-1779804795000-13,LONG,NOISE,MID,0.474,-3.685,LOSS,-1.64,0.0935,0.0935,0.15953568168841084,1,RANGE,0.0667,53.17,0,0,,,0,0,
OKX,2026-05-26,BTC-USDT-SWAP-LONG-1779805408000-14,LONG,NOISE,MID,0.005,-2.957,LOSS,-1.64,0.1797,0.1797,-0.13844355987291332,0,BEAR,1.4036,15.7,0,0,0,-0.0793,0,1,self
OKX,2026-05-26,BTC-USDT-SWAP-SHORT-1779810306000-17,SHORT,GOOD,WEAK_WIN_2,2.228,-0.363,WIN,1.86,0.2443,-0.2443,-0.11466256672155556,1,BEAR,2.1647,1.78,1,1,1,0.0202,0,1,self
OKX,2026-05-26,BTC-USDT-SWAP-SHORT-1779809777000-15,SHORT,GOOD,WEAK_WIN_2,2.144,-0.449,WIN,1.86,0.0388,-0.0388,-0.10239766003523854,0,BEAR,2.2527,1.73,1,1,0,-0.135,1,0,self
OKX,2026-05-26,BTC-USDT-SWAP-SHORT-1779809793000-16,SHORT,GOOD,WEAK_WIN_2,2.2,-0.392,WIN,1.86,0.0433,-0.0433,-0.06396362690068237,0,BEAR,2.1944,1.47,1,1,0,-0.135,1,0,self
OKX,2026-05-27,BTC-USDT-SWAP-LONG-1779840003000-1,LONG,NOISE,MID,0.347,-2.218,LOSS,-1.64,-0.1739,-0.1739,-0.011457008146965087,0,BEAR,0.331,13.6,0,1,1,0.0309,1,0,self
OKX,2026-05-27,BTC-USDT-SWAP-SHORT-1779843621000-4,SHORT,GOOD,WEAK_WIN_2,2.404,-0.157,WIN,1.86,-0.165,0.165,0.20712766676248176,0,BEAR,0.0551,9.03,0,1,0,0.0559,0,1,other
OKX,2026-05-27,BTC-USDT-SWAP-SHORT-1779840687000-2,SHORT,GOOD,WEAK_WIN_2,2.291,-0.273,WIN,1.86,0.1949,-0.1949,-0.20280873431835483,0,BEAR,0.257,4.28,1,1,0,0.0309,0,1,self
OKX,2026-05-27,BTC-USDT-SWAP-SHORT-1779840959000-3,SHORT,GOOD,WEAK_WIN_2,2.18,-0.386,WIN,1.86,-0.1802,0.1802,-0.24787607004634196,1,BEAR,0.37,7.95,0,1,0,0.0309,0,1,other
OKX,2026-05-27,BTC-USDT-SWAP-LONG-1779845157000-6,LONG,NOISE,MID,0.44,-2.251,LOSS,-1.64,-0.0533,-0.0533,0.23725280410682842,0,BEAR,0.3383,29.72,0,0,1,-0.3033,0,1,self
OKX,2026-05-27,BTC-USDT-SWAP-SHORT-1779845486000-7,SHORT,GOOD,WEAK_WIN_2,2.26,-0.431,WIN,1.86,-0.1886,0.1886,-0.23978933944217304,0,BEAR,0.329,28.38,0,0,0,0.0559,0,1,other
OKX,2026-05-27,BTC-USDT-SWAP-SHORT-1779847691000-8,SHORT,GOOD,WEAK_WIN_2,2.195,-0.498,WIN,1.86,-0.1566,0.1566,-0.2741598942252478,0,BEAR,0.396,11.12,0,1,0,-0.3033,1,0,other
OKX,2026-05-27,BTC-USDT-SWAP-LONG-1779848605000-9,LONG,NOISE,MID,0.547,-2.147,LOSS,-1.64,-0.0245,-0.0245,0.0393796184093019,1,BEAR,0.4455,0.88,1,1,1,0.016,0,0,other
OKX,2026-05-27,BTC-USDT-SWAP-LONG-1779844155000-5,LONG,NOISE,MID,0.157,-2.404,LOSS,-1.64,-0.1635,-0.1635,0.18389877289701093,1,BEAR,0.0551,9.07,0,1,1,0.0559,1,0,other
OKX,2026-05-27,BTC-USDT-SWAP-SHORT-1779854135000-10,SHORT,GOOD,STRONG_3,3.421,-0.712,WIN,1.86,-0.197,0.197,-0.005563133147903035,1,BEAR,0.6103,22.17,0,0,0,-0.3498,1,0,self
OKX,2026-05-27,BTC-USDT-SWAP-LONG-1779860217000-15,LONG,NOISE,MID,0.656,-3.942,LOSS,-1.64,0.2115,0.2115,0.3034372161795738,1,BEAR,0.368,85.48,0,0,,,0,0,
OKX,2026-05-27,BTC-USDT-SWAP-LONG-1779858405000-14,LONG,NOISE,MID,0.74,-3.862,LOSS,-1.64,-0.0315,-0.0315,-0.11753927629306037,1,BEAR,0.598,35.33,0,0,,,0,0,
OKX,2026-05-27,BTC-USDT-SWAP-SHORT-1779856771000-12,SHORT,GOOD,STRONG_3,3.459,-1.162,WIN,1.86,-0.0968,0.0968,-0.08349937302236213,1,BEAR,1.06,8.07,0,1,0,-0.2552,1,0,other
OKX,2026-05-27,BTC-USDT-SWAP-SHORT-1779855973000-11,SHORT,GOOD,STRONG_3,3.517,-1.102,WIN,1.86,-0.1163,0.1163,-0.06652178866761324,1,BEAR,0.9994,5.07,0,1,0,-0.2552,1,0,other
OKX,2026-05-27,BTC-USDT-SWAP-SHORT-1779857966000-13,SHORT,GOOD,STRONG_3,3.813,-0.792,WIN,1.86,-0.0521,0.0521,0.09875890614300563,1,BEAR,0.6498,39.8,0,0,,,0,0,
OKX,2026-05-27,BTC-USDT-SWAP-SHORT-1779884288000-16,SHORT,GOOD,STRONG_3,4.109,-0.235,WIN,1.86,0.2,-0.2,-0.5125750556591198,1,BEAR,0.4816,67.38,0,0,,,0,0,
OKX,2026-05-27,BTC-USDT-SWAP-SHORT-1779888061000-18,SHORT,GOOD,STRONG_3,3.542,-0.169,WIN,1.86,-0.1726,0.1726,-0.3962366081238232,1,BEAR,1.0757,7.63,0,1,0,-0.1946,1,0,self
OKX,2026-05-27,BTC-USDT-SWAP-SHORT-1779889073000-21,SHORT,GOOD,STRONG_2_5,2.894,-0.842,WIN,1.86,-0.1357,0.1357,-0.05093964491311021,1,BEAR,1.7547,1.8,1,1,0,-0.0657,1,0,other
OKX,2026-05-27,BTC-USDT-SWAP-SHORT-1779888965000-20,SHORT,GOOD,STRONG_2_5,2.894,-0.842,WIN,1.86,-0.1357,0.1357,0.20080277205052663,1,BEAR,1.7547,1.8,1,1,0,-0.0657,1,0,other
OKX,2026-05-27,BTC-USDT-SWAP-LONG-1779891187000-22,LONG,NOISE,MID,0.811,-3.089,LOSS,-1.64,-0.2565,-0.2565,0.09608583765007285,0,BEAR,1.7236,0.73,1,1,1,-0.1505,0,1,self
OKX,2026-05-27,BTC-USDT-SWAP-LONG-1779887924000-17,LONG,NOISE,MID,0.316,-3.4,LOSS,-1.64,-0.0665,-0.0665,0.2431523131818078,0,BEAR,1.2237,0.63,1,1,1,-0.1946,0,1,self
OKX,2026-05-27,BTC-USDT-SWAP-LONG-1779892193000-23,LONG,NOISE,MID,0.772,-3.126,LOSS,-1.64,-0.2153,-0.2153,0.20564352410604758,0,BEAR,1.6845,2.27,1,1,1,-0.1505,0,1,other
OKX,2026-05-27,BTC-USDT-SWAP-SHORT-1779888951000-19,SHORT,GOOD,STRONG_2_5,2.894,-0.842,WIN,1.86,-0.1357,0.1357,0.060598306604628664,0,BEAR,1.7547,1.8,1,1,0,-0.0657,1,0,other
OKX,2026-05-28,BTC-USDT-SWAP-SHORT-1779926422000-1,SHORT,GOOD,STRONG_2_5,2.614,-0.078,WIN,1.86,0.0814,-0.0814,-0.24104881139848466,0,BEAR,1.1862,13.07,0,1,0,0.05,0,1,self
OKX,2026-05-28,BTC-USDT-SWAP-SHORT-1779926787000-2,SHORT,GOOD,STRONG_2_5,2.626,-0.066,WIN,1.86,-0.1697,0.1697,-0.07602475180816252,0,BEAR,1.0562,3.57,1,1,0,0.05,0,1,other
OKX,2026-05-28,BTC-USDT-SWAP-SHORT-1779933054000-6,SHORT,GOOD,WEAK_WIN_2,2.343,-0.098,WIN,1.86,0.0089,-0.0089,0.14820663438510503,1,BEAR,0.6004,33.55,0,0,,,0,0,
OKX,2026-05-28,BTC-USDT-SWAP-SHORT-1779933152000-7,SHORT,GOOD,WEAK_WIN_2,2.346,-0.071,WIN,1.86,0.0031,-0.0031,-0.44456357054410867,0,BEAR,0.4506,51.7,0,0,,,0,0,
OKX,2026-05-28,BTC-USDT-SWAP-LONG-1779935403000-9,LONG,NOISE,MID,0.243,-2.179,LOSS,-1.64,-0.2406,-0.2406,0.21516774476089193,0,BEAR,0.6226,43.42,0,0,,,0,0,
