zone_id,date,direction,tz_entry_ref_price,tz_target_type,tz_target_price,tz_target_distance_pct,tz_has_target_ge_2pct,tz_room_to_run_pct,tz_nearest_obstacle_type
BTC-USDT-SWAP-LONG-1773620182000-2,2026-03-16,LONG,72547.4,blocked,,0.3482,0,0.3482,hvn
BTC-USDT-SWAP-LONG-1773620204000-3,2026-03-16,LONG,72547.4,blocked,,0.3482,0,0.3482,hvn
BTC-USDT-SWAP-LONG-1773623888000-6,2026-03-16,LONG,72770.0,blocked,,0.1099,0,0.1099,hvn
BTC-USDT-SWAP-SHORT-1773633161000-9,2026-03-16,SHORT,73601.8,swing_high,71537.6,2.8046,1,1.0894,hvn
BTC-USDT-SWAP-SHORT-1773634922000-11,2026-03-16,SHORT,73584.8,blocked,,0.826,0,0.826,swing_high
BTC-USDT-SWAP-SHORT-1773638712000-12,2026-03-16,SHORT,73868.7,swing_low,72373.4,2.0243,1,0.0777,swing_high
BTC-USDT-SWAP-SHORT-1773639024000-13,2026-03-16,SHORT,73809.9,swing_low,72327.5,2.0084,1,0.0812,hvn
BTC-USDT-SWAP-SHORT-1773640454000-15,2026-03-16,SHORT,74121.8,swing_high,72625.0,2.0194,1,0.1643,hvn
BTC-USDT-SWAP-SHORT-1773640886000-16,2026-03-16,SHORT,73698.8,session_low,72213.7,2.0151,1,0.0662,hvn
BTC-USDT-SWAP-LONG-1773641764000-17,2026-03-16,LONG,73784.5,blocked,,0.1565,0,0.1565,hvn
BTC-USDT-SWAP-SHORT-1773647103000-18,2026-03-16,SHORT,73436.9,blocked,,0.8332,0,0.8332,swing_high
BTC-USDT-SWAP-LONG-1773640084000-14,2026-03-16,LONG,73704.8,blocked,,0.0613,0,0.0613,hvn
BTC-USDT-SWAP-LONG-1773647666000-19,2026-03-16,LONG,73450.4,blocked,,0.2037,0,0.2037,hvn
BTC-USDT-SWAP-LONG-1773647793000-20,2026-03-16,LONG,73450.4,blocked,,0.2037,0,0.2037,hvn
BTC-USDT-SWAP-LONG-1773655882000-26,2026-03-16,LONG,73342.0,blocked,,0.1473,0,0.1473,hvn
BTC-USDT-SWAP-LONG-1773656977000-27,2026-03-16,LONG,73241.8,blocked,,0.1025,0,0.1025,swing_high
BTC-USDT-SWAP-SHORT-1773651038000-24,2026-03-16,SHORT,73107.1,blocked,,0.7429,0,0.7429,swing_high
BTC-USDT-SWAP-SHORT-1773650318000-21,2026-03-16,SHORT,73051.0,blocked,,0.8111,0,0.8111,swing_low
BTC-USDT-SWAP-LONG-1773650421000-22,2026-03-16,LONG,73089.8,blocked,,0.4928,0,0.4928,hvn
BTC-USDT-SWAP-LONG-1773660808000-30,2026-03-16,LONG,73584.4,blocked,,0.0891,0,0.0891,hvn
BTC-USDT-SWAP-SHORT-1773660536000-29,2026-03-16,SHORT,73531.6,blocked,,0.3552,0,0.3552,swing_low
BTC-USDT-SWAP-LONG-1773659225000-28,2026-03-16,LONG,73689.9,blocked,,0.0816,0,0.0816,hvn
BTC-USDT-SWAP-SHORT-1773655581000-25,2026-03-16,SHORT,73421.5,blocked,,0.1425,0,0.1425,swing_high
BTC-USDT-SWAP-LONG-1773665169000-32,2026-03-16,LONG,73748.4,blocked,,0.07,0,0.07,hvn
BTC-USDT-SWAP-LONG-1773664875000-31,2026-03-16,LONG,73788.0,blocked,,0.2359,0,0.2359,swing_low
BTC-USDT-SWAP-LONG-1773666805000-33,2026-03-16,LONG,73905.4,blocked,,0.7365,0,0.7365,session_high
BTC-USDT-SWAP-LONG-1773650790000-23,2026-03-16,LONG,73132.9,blocked,,0.4336,0,0.4336,hvn
BTC-USDT-SWAP-LONG-1773670854000-35,2026-03-16,LONG,74126.8,blocked,,0.1662,0,0.1662,hvn
BTC-USDT-SWAP-SHORT-1773672598000-37,2026-03-16,SHORT,73485.0,blocked,,0.0554,0,0.0554,swing_low
BTC-USDT-SWAP-LONG-1773684454000-38,2026-03-16,LONG,74217.7,blocked,,0.3802,0,0.3802,session_high
BTC-USDT-SWAP-LONG-1773685469000-39,2026-03-16,LONG,73924.2,blocked,,0.1025,0,0.1025,hvn
BTC-USDT-SWAP-LONG-1773695990000-40,2026-03-16,LONG,74221.4,blocked,,0.1059,0,0.1059,hvn
BTC-USDT-SWAP-SHORT-1773670410000-34,2026-03-16,SHORT,73080.1,blocked,,1.1855,0,1.1855,session_low
BTC-USDT-SWAP-SHORT-1773700604000-44,2026-03-16,SHORT,74663.8,session_low,72213.7,3.2815,1,0.1677,swing_low
BTC-USDT-SWAP-LONG-1773671719000-36,2026-03-16,LONG,73430.3,blocked,,0.0949,0,0.0949,hvn
BTC-USDT-SWAP-SHORT-1773697184000-41,2026-03-16,SHORT,74480.0,session_low,72213.7,3.0428,1,0.2417,hvn
BTC-USDT-SWAP-LONG-1773698589000-42,2026-03-16,LONG,74788.9,blocked,,0.1218,0,0.1218,session_high
BTC-USDT-SWAP-LONG-1773699232000-43,2026-03-16,LONG,74654.1,blocked,,0.3026,0,0.3026,session_high
BTC-USDT-SWAP-SHORT-1773701464000-45,2026-03-16,SHORT,74455.7,session_low,72213.7,3.0112,1,0.0748,hvn
