comparison,feature,median_win,median_noise,cohen_d,auc,precision_top_decile,recall,sign_stability_by_date,sign_stability_by_direction,live_valid
strong_vs_weak_hit2,taker_imb_5m,-0.1377,-0.1845,0.299,0.557,1.0,0.125,0.0,"{""LONG"": 0.026, ""SHORT"": 0.04}",YES
strong_vs_weak_hit2,spread_now_bps,0.012,0.012,-0.535,0.443,1.0,0.125,1.0,"{""LONG"": 0.001, ""SHORT"": 0.0}",YES
strong_vs_weak_hit2,prior_move_1d,0.3295,0.7257,-0.219,0.455,1.0,0.125,0.0,"{""LONG"": -2.438, ""SHORT"": 0.713}",YES
strong_vs_weak_hit2,sweep_low,0.0,0,0.166,0.534,0.5,0.25,0.0,"{""LONG"": 0.0, ""SHORT"": 0}",YES
strong_vs_weak_hit2,rejection_proof,1.0,1,0.158,0.528,0.438,0.875,1.0,"{""LONG"": 0.0, ""SHORT"": 0}",YES
strong_vs_weak_hit2,depth_imb_top25,0.4811,0.4829,0.031,0.523,0.0,0.0,1.0,"{""LONG"": -0.06, ""SHORT"": 0.164}",YES
strong_vs_weak_hit2,OFI,-0.0381,-0.007,0.103,0.477,0.0,0.0,0.0,"{""LONG"": -0.113, ""SHORT"": 0.012}",YES
strong_vs_weak_hit2,prior_move_60m,0.0127,0.0463,-0.233,0.477,1.0,0.125,0.0,"{""LONG"": -0.528, ""SHORT"": 0.494}",YES
strong_vs_weak_hit2,dist_to_range_high_pct,0.4575,0.405,0.007,0.511,1.0,0.125,0.0,"{""LONG"": 0.187, ""SHORT"": -0.168}",YES
strong_vs_weak_hit2,reclaim_zoneMid,1.0,1,0.052,0.511,0.429,0.75,1.0,"{""LONG"": 0.0, ""SHORT"": 0}",YES
strong_vs_weak_hit2,net_flow_5m,-549.14,2817.44,0.204,0.511,1.0,0.125,1.0,"{""LONG"": -4646.21, ""SHORT"": -2992.29}",YES
strong_vs_weak_hit2,range_pos,0.5425,0.595,-0.007,0.489,1.0,0.125,0.0,"{""LONG"": -0.187, ""SHORT"": 0.168}",YES
strong_vs_weak_hit2,dist_to_range_low_pct,0.5425,0.595,-0.007,0.489,1.0,0.125,0.0,"{""LONG"": -0.187, ""SHORT"": 0.168}",YES
strong_vs_weak_hit2,entropy,0.3345,0.3277,-0.022,0.489,0.0,0.0,1.0,"{""LONG"": 0.038, ""SHORT"": -0.043}",YES
strong_vs_weak_hit2,prior_move_180m,0.1202,-0.1126,0.12,0.489,1.0,0.125,1.0,"{""LONG"": -0.534, ""SHORT"": -0.191}",YES
strong_vs_weak_hit2,inband_sell_share_30m,0.4601,0.47,-0.173,0.5,0.0,0.0,1.0,"{""LONG"": 0.03, ""SHORT"": -0.024}",YES
firstlive_winner_vs_firstlive_loser,prior_move_1d,0.6613,-0.0563,0.599,0.691,0.333,0.167,0.6,"{""LONG"": 1.051, ""SHORT"": 0.545}",YES
firstlive_winner_vs_firstlive_loser,microprice_5m_bps,3.2755,1.007,0.513,0.67,0.333,0.167,0.5,"{""LONG"": 4.124, ""SHORT"": 1.976}",YES
firstlive_winner_vs_firstlive_loser,prior_move_60m,0.1509,-0.0949,0.273,0.629,0.5,0.25,0.5,"{""LONG"": 0.15, ""SHORT"": 0.29}",YES
firstlive_winner_vs_firstlive_loser,inband_sell_share_30m,0.4557,0.5033,-0.427,0.379,0.333,0.167,0.6,"{""LONG"": -0.041, ""SHORT"": -0.016}",YES
firstlive_winner_vs_firstlive_loser,local_volatility_180m,0.828,0.7763,0.467,0.614,0.333,0.167,0.3,"{""LONG"": -0.019, ""SHORT"": 0.142}",YES
firstlive_winner_vs_firstlive_loser,taker_imb_5m,-0.1255,-0.1578,0.5,0.603,0.333,0.167,0.6,"{""LONG"": 0.04, ""SHORT"": -0.008}",YES
firstlive_winner_vs_firstlive_loser,net_flow_5m,1797.67,3693.46,-0.425,0.399,0.5,0.25,0.6,"{""LONG"": 1034.03, ""SHORT"": -5063.67}",YES
firstlive_winner_vs_firstlive_loser,supp_refill_ratio_5m,1.0,1.0006,-0.468,0.408,0.286,0.167,0.6,"{""LONG"": 0.001, ""SHORT"": -0.001}",YES
firstlive_winner_vs_firstlive_loser,prior_move_180m,0.0463,0.0116,0.403,0.587,0.333,0.167,0.7,"{""LONG"": -0.11, ""SHORT"": 0.319}",YES
firstlive_winner_vs_firstlive_loser,refill_proxy_eng,0.5002,0.5005,-0.405,0.426,0.167,0.083,0.4,"{""LONG"": -0.001, ""SHORT"": -0.0}",YES
firstlive_winner_vs_firstlive_loser,range_pos,0.602,0.429,0.239,0.56,0.167,0.083,0.6,"{""LONG"": -0.03, ""SHORT"": 0.145}",YES
firstlive_winner_vs_firstlive_loser,dist_to_range_low_pct,0.602,0.429,0.239,0.56,0.167,0.083,0.6,"{""LONG"": -0.03, ""SHORT"": 0.145}",YES
firstlive_winner_vs_firstlive_loser,dist_to_range_high_pct,0.398,0.571,-0.239,0.44,0.167,0.083,0.6,"{""LONG"": 0.03, ""SHORT"": -0.145}",YES
firstlive_winner_vs_firstlive_loser,taker_slope_5m_30m,-0.0732,-0.1302,0.034,0.556,0.333,0.167,0.6,"{""LONG"": 0.021, ""SHORT"": 0.058}",YES
firstlive_winner_vs_firstlive_loser,depth_imb_top25,0.2962,0.4028,-0.203,0.448,0.333,0.167,0.4,"{""LONG"": -0.896, ""SHORT"": 0.072}",YES
firstlive_winner_vs_firstlive_loser,wall_persistence_sec,285.0,287,0.351,0.449,0.0,0.0,0.4,"{""LONG"": 2.5, ""SHORT"": -5}",YES
firstlive_winner_vs_firstlive_loser,taker_sign_change_5m_30m,0.0,0,-0.226,0.449,0.214,0.75,0.7,"{""LONG"": 0.0, ""SHORT"": 0}",YES
firstlive_winner_vs_firstlive_loser,sweep_high,0.0,0,0.233,0.547,0.273,0.25,0.9,"{""LONG"": 0.0, ""SHORT"": 0}",YES
firstlive_winner_vs_firstlive_loser,entropy,0.3024,0.3336,-0.052,0.458,0.0,0.0,0.5,"{""LONG"": -0.057, ""SHORT"": -0.003}",YES
firstlive_winner_vs_firstlive_loser,thin_path_score,0.0958,0.0951,0.154,0.54,0.286,0.167,0.6,"{""LONG"": 0.002, ""SHORT"": -0.001}",YES
firstlive_winner_vs_firstlive_loser,ofi_slope_5m_30m,6644.56,6854.34,-0.229,0.472,0.333,0.167,0.5,"{""LONG"": -12451.68, ""SHORT"": 853.09}",YES
firstlive_winner_vs_firstlive_loser,sweep_low,0.0,0,-0.125,0.475,0.2,0.833,0.7,"{""LONG"": 0.0, ""SHORT"": 0}",YES
firstlive_winner_vs_firstlive_loser,spread_now_bps,0.0125,0.012,0.355,0.52,0.194,0.5,0.9,"{""LONG"": 0.001, ""SHORT"": -0.001}",YES
firstlive_winner_vs_firstlive_loser,opposing_wall_score,65.0,70,-0.037,0.487,0.125,0.083,0.4,"{""LONG"": -9.0, ""SHORT"": 1}",YES
firstlive_winner_vs_firstlive_loser,taker_imb_15m,-0.1647,-0.13,-0.009,0.493,0.333,0.167,0.6,"{""LONG"": -0.066, ""SHORT"": 0.001}",YES
firstlive_winner_vs_firstlive_loser,rejection_proof,1.0,1,0.026,0.505,0.192,0.833,0.9,"{""LONG"": 0.0, ""SHORT"": 0}",YES
firstlive_winner_vs_firstlive_loser,OFI,0.0073,-0.0011,0.033,0.495,0.0,0.0,0.3,"{""LONG"": 0.035, ""SHORT"": -0.033}",YES
firstlive_winner_vs_firstlive_loser,dist_to_range_mid_pct,0.251,0.244,-0.044,0.498,0.0,0.0,0.4,"{""LONG"": -0.01, ""SHORT"": 0.011}",YES
firstlive_winner_vs_firstlive_loser,is_asia_session,1.0,1,-0.01,0.498,0.192,0.417,0.7,"{""LONG"": 0.0, ""SHORT"": -1}",YES
firstlive_winner_vs_firstlive_loser,reclaim_zoneMid,1.0,1,0.0,0.5,0.19,1.0,1.0,"{""LONG"": 0.0, ""SHORT"": 0}",YES
