window_id,exchange,ts_min,date,ts_iso,direction_candidate,entry_price,future_mfe_pct,future_mae_pct,hit2,hit2_5,hit3,loss,timeout,outcome,time_to_2_min,time_to_2_5_min,time_to_3_min,prior_move_60m,prior_move_180m,local_vol_180m,dist_from_recent_low_pct,dist_from_recent_high_pct,bounce_into_pivot_pct,spread_bps,depth_imbalance,net_taker_30m,taker_imb_30m,cvd_delta_60m,price_change_30m,sell_frac_30m,trade_count_spike,effort_vs_result_raw,vol_30m_btc
W1_NOVEMBER,Bybit,29395465,2025-11-21,2025-11-21T12:25:00+00:00,LONG,81288.75,2.04,0.725,1,0,0,0,0,WIN,14,,,-2.171,-2.433,0.14,0.261,3.675,1.549,0.012,-0.1456,-1253.177,-0.1733,-1670.721,-1.21,0.587,1.3,0.2097,7229.263
W1_NOVEMBER,Bybit,29395480,2025-11-21,2025-11-21T12:40:00+00:00,SHORT,82710.55,0.0,1.777,0,0,0,1,0,LOSS,,,,0.285,0.064,0.161,2.493,1.449,2.786,0.022,-0.0517,-26.644,-0.0018,-336.705,0.877,0.501,2.29,-0.0016,14857.292
W1_NOVEMBER,Bybit,29395661,2025-11-21,2025-11-21T15:41:00+00:00,LONG,82948.55,2.114,0.634,1,0,0,0,0,WIN,75,,,-2.57,0.109,0.173,2.788,2.848,1.857,0.023,-0.0001,-1834.151,-0.2266,-2324.383,-1.715,0.613,1.05,0.3887,8094.087
W1_NOVEMBER,Bybit,29395703,2025-11-21,2025-11-21T16:23:00+00:00,SHORT,82934.95,0.0,1.797,0,0,0,1,0,LOSS,,,,-1.308,-0.939,0.169,2.771,2.864,0.876,0.012,-0.1526,625.996,0.103,-717.987,0.108,0.449,1.06,0.0111,6079.616
W1_NOVEMBER,Bybit,29395809,2025-11-21,2025-11-21T18:09:00+00:00,LONG,84088.55,1.659,0.932,0,0,0,0,1,TIMEOUT,,,,-1.478,-0.398,0.153,2.021,1.584,1.71,0.014,0.1004,-1434.101,-0.2814,-1976.708,-1.242,0.641,0.8,0.3495,5096.861
W1_NOVEMBER,Bybit,29395840,2025-11-21,2025-11-21T18:40:00+00:00,SHORT,84358.55,1.096,1.334,0,0,0,0,1,TIMEOUT,,,,-0.823,1.811,0.153,2.349,1.268,1.41,0.012,0.0204,784.669,0.1394,-525.596,0.517,0.43,0.85,0.0721,5627.283
W1_NOVEMBER,Bybit,29395908,2025-11-21,2025-11-21T19:48:00+00:00,LONG,84350.75,1.343,1.087,0,0,0,0,1,TIMEOUT,,,,-0.638,0.725,0.137,2.34,1.277,0.834,0.012,-0.1069,-382.401,-0.2245,-588.061,-0.226,0.612,0.51,0.0507,1703.531
W1_NOVEMBER,Bybit,29395942,2025-11-21,2025-11-21T20:22:00+00:00,LONG,83814.85,1.991,0.454,0,0,0,0,1,TIMEOUT,,,,-1.197,-1.577,0.124,1.061,1.904,0.631,0.012,0.1266,-22.042,-0.0084,-465.02,-0.474,0.504,0.7,0.004,2634.978
W1_NOVEMBER,Bybit,29395970,2025-11-21,2025-11-21T20:50:00+00:00,SHORT,84322.85,0.603,1.377,0,0,0,0,1,TIMEOUT,,,,0.042,-0.983,0.13,1.222,1.31,1.335,0.012,-0.0967,386.287,0.1497,274.094,0.644,0.425,0.9,0.0963,2580.907
W1_NOVEMBER,Bybit,29396076,2025-11-21,2025-11-21T22:36:00+00:00,LONG,84520.75,1.139,0.836,0,0,0,0,1,TIMEOUT,,,,-0.766,-0.227,0.109,1.302,0.989,1.166,0.012,0.2129,-533.82,-0.2816,-390.186,-0.906,0.641,0.69,0.2551,1895.904
W1_NOVEMBER,Bybit,29396108,2025-11-21,2025-11-21T23:08:00+00:00,LONG,84168.35,1.563,0.421,0,0,0,0,1,TIMEOUT,,,,-1.28,0.327,0.111,0.88,1.402,0.897,0.012,0.0676,-8.131,-0.0047,-452.046,-0.268,0.502,0.83,0.0013,1738.473
W1_NOVEMBER,Bybit,29396125,2025-11-21,2025-11-21T23:25:00+00:00,SHORT,84780.25,1.14,0.83,0,0,0,0,1,TIMEOUT,,,,0.01,1.137,0.11,1.613,0.685,0.895,0.012,0.1549,245.985,0.1487,364.708,0.432,0.426,0.82,0.0642,1653.895
W1_NOVEMBER,Bybit,29396240,2025-11-22,2025-11-22T01:20:00+00:00,SHORT,84845.95,1.216,0.387,0,0,0,0,1,TIMEOUT,,,,-0.426,-0.246,0.093,0.905,0.746,0.351,0.012,0.0651,222.471,0.1644,-60.499,0.151,0.418,0.95,0.0249,1353.009
W1_NOVEMBER,Bybit,29396320,2025-11-22,2025-11-22T02:40:00+00:00,LONG,84341.45,0.475,0.868,0,0,0,0,1,TIMEOUT,,,,-0.776,-0.83,0.08,0.305,1.336,0.571,0.012,0.087,-378.298,-0.3494,-410.973,-0.487,0.675,0.91,0.1702,1082.806
W1_NOVEMBER,Bybit,29396349,2025-11-22,2025-11-22T03:09:00+00:00,SHORT,84499.95,1.166,0.286,0,0,0,0,1,TIMEOUT,,,,-0.455,-1.0,0.078,0.37,1.151,0.308,0.012,-0.1018,-33.475,-0.044,-413.734,0.216,0.522,0.73,-0.0095,760.607
W1_NOVEMBER,Bybit,29396402,2025-11-22,2025-11-22T04:02:00+00:00,SHORT,84397.55,1.046,0.408,0,0,0,0,1,TIMEOUT,,,,0.01,-0.416,0.069,0.223,1.271,0.315,0.012,-0.4227,-282.44,-0.3766,-518.31,0.005,0.688,0.82,-0.0021,749.896
W1_NOVEMBER,Bybit,29396419,2025-11-22,2025-11-22T04:19:00+00:00,LONG,83933.35,0.963,0.499,0,0,0,0,1,TIMEOUT,,,,-0.642,-1.099,0.068,0.028,1.54,0.673,0.012,0.2553,-414.888,-0.3534,-674.092,-0.337,0.677,1.12,0.1192,1174.138
W1_NOVEMBER,Bybit,29396457,2025-11-22,2025-11-22T04:57:00+00:00,SHORT,84146.35,0.751,0.708,0,0,0,0,1,TIMEOUT,,,,-0.32,-1.027,0.071,0.396,1.207,0.479,0.012,0.0195,-262.745,-0.2462,-609.643,0.117,0.623,1.16,-0.0289,1067.417
W1_NOVEMBER,Bybit,29396509,2025-11-22,2025-11-22T05:49:00+00:00,SHORT,84051.85,0.639,0.821,0,0,0,0,1,TIMEOUT,,,,0.074,-0.3,0.072,0.284,1.318,0.346,0.012,-0.17,146.609,0.2291,111.981,0.045,0.385,0.86,0.0102,640.013
